ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB,CU
32,Iron Man 2,2010,"Action,Adventure,Sci-Fi",124 min,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7.0,Good,Marvel
33,Spider-Man 3,2007,"Action,Adventure,Sci-Fi",139 min,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.2,Bad,Marvel
34,Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",118 min,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7.0,Good,Marvel
35,The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",112 min,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7,Bad,Marvel
36,Hawkeye,2021,"Action,Adventure,Crime",60 min,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton.",0.0,Bad,Marvel
37,Guardians of the Galaxy Vol. 3,2023,"Action,Adventure,Comedy",0,Plot unknown. Third installment of the 'Guardians of the Galaxy' franchise.,0.0,Bad,
38,The Marvels,2024,"Action,Adventure,Fantasy",0,Sequel of the 2019 title 'Captain Marvel'.,0.0,Bad,Marvel
39,Moon Knight,,"Action,Adventure,Drama",0,"Marc Spector is a former CIA agent whose life is saved by the Moon God, Khonshu.",0.0,Bad,Marvel
40,Long Shot,2019,"Comedy,Romance",125 min,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",6.8,Bad,
41,Ralph Breaks the Internet,2018,"Animation,Adventure,Comedy",112 min,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",7.0,Good,
42,Fantastic 4: Rise of the Silver Surfer,2007,"Action,Adventure,Fantasy",92 min,The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,5.6,Bad,Marvel
43,Ms. Marvel,2022,"Action,Adventure,Comedy",0,New Jersey raised Kamala Khan learns she has polymorphous powers.,0.0,Bad,
44,Fantastic Four,,"Action,Adventure,Comedy",0,One of Marvel's most iconic families makes it to the big screen: the Fantastic Four.,0.0,Bad,Marvel
45,She-Hulk,2022,"Action,Adventure,Comedy",0,Jennifer Walters acquires Hulk-like qualities.,0.0,Bad,Marvel
46,Secret Invasion,2023,"Action,Adventure,Drama",0,Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.,0.0,Bad,Marvel
47,Deadpool & Wolverine,2024,"Action,Comedy,Sci-Fi",0,"The film is rumored to involve another popular group in the X-Men mythos, X-Force.",0.0,Bad,Marvel
48,Blade,,"Action,Adventure,Fantasy",0,Plot is unknown at this time.,0.0,Bad,
49,Guardians of the Galaxy: Inferno,,"Short,Comedy,Music",4 min,"A Guardians of the Galaxy video, the Guardians Inferno, featuring 80s pop star Zardu Hasselfrau.",8.1,Good,
50,Ironheart,,"Action,Adventure,Drama",0,The genius teenage-girl inventor Riri Williams creates the most advanced suit of armor since Iron Man.,0.0,Bad,Marvel
51,Armor Wars,,"Action,Adventure,Drama",0,Find out in this series what would happen if Tony Stark's tech fell into the wrong hands.,0.0,Bad,Marvel
52,Punisher: War Zone,2008,"Action,Crime,Drama",103 min,"Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",5.9,Bad,
53,Ant-Man and the Wasp: Quantumania,2023,"Action,Adventure,Comedy",0,The further adventures of Ant-Man and the Wasp.,0.0,Bad,Marvel
54,I Am Groot,,"Action,Adventure,Comedy",0,A series of shorts featuring the seedling Groot along with several new and unusual characters.,0.0,Bad,Marvel
55,Marvel Studios: Legends,,"Action,Fantasy,Sci-Fi",7 min,This series showcases individual characters from the MCU viewers have come to know and love over the years and revisit some of their most iconic moments.,6.5,Bad,
56,Mutant X,,"Action,Adventure,Drama",60 min,"A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent.",5.9,Bad,
