ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
16,Avengers: Age of Ultron,-2015,"Action,Adventure,Sci-Fi",141 min,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3,Good
17,Captain America: The First Avenger,-2011,"Action,Adventure,Sci-Fi",124 min,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",6.9,Bad
18,Guardians of the Galaxy Vol. 2,-2017,"Action,Adventure,Comedy",136 min,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",7.6,Good
19,Thor,-2011,"Action,Adventure,Fantasy",115 min,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",7.0,Good
20,Iron Man,-2008,"Action,Adventure,Sci-Fi",126 min,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.9,Good
21,Captain America: Civil War,-2016,"Action,Adventure,Sci-Fi",147 min,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,7.8,Good
22,The Avengers,-2012,"Action,Adventure,Sci-Fi",143 min,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8.0,Good
23,Doctor Strange in the Multiverse of Madness,-2022,"Action,Adventure,Fantasy",0,Plot unknown. Sequel to the 2016 Marvel film 'Doctor Strange'.,0.0,Bad
24,Brightburn,-2019,"Drama,Horror,Mystery",90 min,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",6.1,Bad
25,Doctor Strange,-2016,"Action,Adventure,Fantasy",115 min,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",7.5,Good
