ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
156,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Many of the mysteries surrounding Mutant X are revealed when Lexa and Jesse are captured by the Dominion and the team, along with Adam, goes in to rescue them.",6.2,Bad
157,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team is brought in to help a military base that has become infected with a deadly disease.,5.5,Bad
158,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Ashlocke is desperate to find a cure for his fatal condition, and infiltrates the Sanctuary to blackmail Adam into getting hold of the antidote.",5.9,Bad
159,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan's shady ex-girlfriend turns to him for help when her latest scam takes a deadly turn.,6.1,Bad
160,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team embarks on a mission to locate and capture a powerful super-mutant who possesses god-like powers.,5.2,Bad
161,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A mutant empath on the run from mysterious government agents is rescued by a team of fellow ""New Mutants"" - the group known as Mutant X.",6.3,Bad
162,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"When Lexa is unknowingly drugged with a lethal substance, the team must race to find the antidote before it's too late.",6.1,Bad
163,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Ashlocke goes back in time to try and make himself invincible by giving something to his the younger self. Brennan and Shalimar follow him. Jesse takes the new mutant, who sent them back, ...                See full summary »",6.2,Bad
164,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Someone tries to kill Adam but the team saves him. The person who killed him was part of a group of assassins. So Adam sends Shalimar to join them and find out who wants to kill him. She ...                See full summary »,5.5,Bad
165,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"While on a job, Shalimar is injured, she is helped by another feral mutant, Nikki, whom she knew, who was almost chosen for the team. While Shalimar recuperates, she offers to fill in. But ...                See full summary »",6.1,Bad
166,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team must stop the auction of a highly lethal substance that a number of notorious international terrorists are vying to acquire.,4.9,Bad
167,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Jesse is forced to reconnect with his former fiancé when the Mutant X team learns that her company is involved in the genetic manipulation of crops.,6.0,Bad
168,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team must stop a serial killer who leaves clues to his next victims in the form of puzzles.,5.0,Bad
169,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A New Mutant with the power of invisibility is working against both Eckhart and Adam, despite the fact she was involved with Adam in the past.",6.8,Bad
170,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team head into the wilderness to track down a killer beast which is targeting hikers.,6.1,Bad
171,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Adam's sends them on a mission but doesn't give them much information. They're following a prisoner being transported in a van. Someone stops the van and releases the prisoner. When they ...                See full summary »,6.9,Bad
172,X-Men: Evolution,(2000–2003),"Animation,Action,Drama",22 min,Jean is about to confess her love to Scott when Mystique abducts Scott and abandons him in the desert in Mexico.,7.5,Good
173,X-Men: Evolution,(2000–2003),"Animation,Action,Drama",22 min,"It's Christmas time and a mysterious ""angel"" has been sighted in New York City, saving those in need.",7.5,Good
174,X-Men: Evolution,(2000–2003),"Animation,Action,Drama",22 min,"Spyke joins a skateboarding contest sponsored by ""Pow-R 8"" soda.",6.9,Bad
175,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Discovering that their teammate Lexa is the subject of a covert experiment that is controlling her, the Mutant X team hunts for the doctor responsible.",5.6,Bad
260,Jessica Jones,(2015–2019),"Action,Crime,Drama",52 min,"Jessica Jones is hired to find an NYU student athlete who's vanished, but it turns out to be more than a simple missing persons case.",8.0,Good
387,Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama",43 min,The final fight against the Chronicoms begins. A familiar face returns.,9.5,Very Good
388,WandaVision,-2021,"Action,Comedy,Drama",30 min,Wanda and Vision struggle to conceal their powers during dinner with Vision's boss and his wife.,7.5,Good
389,Wonder Woman 1984,-2020,"Action,Adventure,Fantasy",151 min,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",5.4,Bad
390,The Suicide Squad,-2021,"Action,Adventure,Comedy",0,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",0.0,Bad
391,The Batman,-2022,"Action,Crime,Drama",0,The plot is unknown.,0.0,Bad
392,Joker,-2019,"Crime,Drama,Thriller",122 min,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.4,Good
393,Arrow,(2012–2020),"Action,Adventure,Crime",42 min,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",7.5,Good
394,The Dark Knight,-2008,"Action,Crime,Drama",152 min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,Very Good
395,Watchmen,-2009,"Action,Drama,Mystery",162 min,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",7.6,Good
396,Gotham,(2014–2019),"Action,Crime,Drama",42 min,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,7.8,Good
397,Smallville,(2001–2011),"Adventure,Drama,Romance",60 min,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",7.5,Good
398,Suicide Squad,-2016,"Action,Adventure,Fantasy",123 min,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,5.9,Bad
399,The Dark Knight Rises,-2012,"Action,Adventure",164 min,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",8.4,Good
400,Doom Patrol,(2019–2023),"Action,Adventure,Comedy",60 min,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,7.9,Good
401,Aquaman,-2018,"Action,Adventure,Fantasy",143 min,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",6.9,Bad
402,The Sandman,(2021– ),"Action,Adventure,Drama",0,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",0.0,Bad
403,Watchmen,-2019,"Action,Drama,Mystery",527 min,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own.",8.2,Good
404,Man of Steel,-2013,"Action,Adventure,Sci-Fi",143 min,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",7.0,Good
405,Shazam!,-2019,"Action,Adventure,Comedy",132 min,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7.0,Good
406,Batman v Superman: Dawn of Justice,-2016,"Action,Adventure,Sci-Fi",152 min,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.4,Bad
407,Catch Me If You Can,-2002,"Biography,Crime,Drama",141 min,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,Good
408,Batman Begins,-2005,"Action,Adventure",140 min,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",8.2,Good
409,The Sandman,(2020– ),"Drama,Fantasy,Horror",0,"When The Sandman is pulled from his realm and imprisoned on Earth, he languishes for decades before finally escaping.",9.5,Very Good
410,V for Vendetta,-2005,"Action,Drama,Sci-Fi",132 min,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",8.1,Good
411,Batman,-1989,"Action,Adventure",126 min,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",7.5,Good
412,I Am Legend,-2007,"Action,Adventure,Drama",101 min,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",7.2,Good
413,Batman: The Animated Series,(1992–1995),"Animation,Action,Adventure",23 min,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,9.0,Very Good
414,The Flash,-2022,"Action,Adventure,Fantasy",0,"The plot is unknown. Feature film based on the comic book superhero, The Flash.",0.0,Bad
415,Batman & Robin,-1997,"Action,Sci-Fi",125 min,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,3.8,Bad
416,Constantine,-2005,"Action,Fantasy,Horror",121 min,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",7.0,Good
417,Batman Forever,-1995,"Action,Adventure",121 min,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4,Bad
418,Superman,-1978,"Action,Adventure,Drama",143 min,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",7.3,Good
419,Justice Society: World War II,-2021,"Animation,Action,Adventure",84 min,"The Justice Society of America, a group of heroes aiding the allies in World War 2, acquire an ally from the future who sends them on an adventure that changes history.",6.4,Bad
420,Young Justice,(2010– ),"Animation,Action,Adventure",23 min,Teenage superheroes strive to prove themselves as members of the Justice League.,8.6,Very Good
421,Green Lantern,-2011,"Action,Adventure,Sci-Fi",114 min,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",5.5,Bad
422,"Batman: The Long Halloween, Part One",(2021 Video),"Animation,Action,Crime",0,Batman investigates a murder spree that takes place on holidays.,0.0,Bad
423,Batman Returns,-1992,"Action,Crime,Fantasy",126 min,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",7.0,Good
424,The Karate Kid,-2010,"Action,Drama,Family",140 min,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",6.2,Bad
425,Supergirl,-1984,"Action,Adventure,Fantasy",124 min,"After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",4.4,Bad
426,The Iron Giant,-1999,"Animation,Action,Adventure",86 min,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8.0,Good
427,Superman Returns,-2006,"Action,Sci-Fi",154 min,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",6.0,Bad
428,Teen Titans,(2003–2006),"Animation,Action,Adventure",23 min,A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.,7.9,Good
429,Clerks,-1994,Comedy,92 min,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss films, and play hockey on the store roof.",7.7,Good
430,Krypton,(2018–2019),"Action,Adventure,Drama",45 min,The untold story of Superman's grandfather as he fights for justice on his home planet.,6.9,Bad
431,Daddy Day Care,-2003,"Comedy,Family",92 min,"Two men, Charlie Hinton (Eddie Murphy) and Phil Ryerson (Jeff Garlin), get laid off and have to become stay-at-home dads when they can't find jobs. This inspires them to open their own day-care center.",5.6,Bad
432,Superman III,-1983,"Action,Adventure,Comedy",125 min,Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.,5.0,Bad
433,Constantine,(2014–2015),"Crime,Drama,Fantasy",43 min,A man struggling with his faith who is haunted by the sins of his past is suddenly thrust into the role of defending humanity from the gathering forces of darkness.,7.5,Good
434,Justice League Unlimited,(2004–2006),"Animation,Action,Adventure",23 min,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,8.7,Very Good
435,Superman II,-1980,"Action,Adventure,Sci-Fi",127 min,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",6.8,Bad
436,Justice League,(2001–2004),"Animation,Action,Adventure",22 min,Seven of the most formidable heroes form arguably the most powerful team ever.,8.5,Very Good
437,Catwoman,-2004,"Action,Crime,Fantasy",104 min,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",3.4,Bad
438,Justice League Part Two,,"Action,Sci-Fi",0,The plot is unknown.,0.0,Bad
439,Batman Beyond,(1999–2001),"Animation,Action,Adventure",23 min,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham.",8.1,Good
440,Adventures of Superman,(1952–1958),"Action,Adventure,Crime",30 min,The Man of Steel fights crime with help from his friends at the Daily Planet.,7.7,Good
441,Trick 'r Treat,-2007,"Comedy,Horror",82 min,"Five interwoven stories that occur on Halloween: An everyday high school principal has a secret life as a serial killer; a college virgin might have just met the guy for her; a group of teenagers pull a mean prank; a woman who loathes the night has to contend with her holiday-obsessed husband; and a mean old man meets his match with a demonic, supernatural trick-or-treater.",6.8,Bad
442,Batman: Soul of the Dragon,-2021,"Animation,Action,Adventure",83 min,"In the 1970s, a missing teacher of martial arts is the subject of a quest by his devoted and brilliant but distant students, who include Batman.",6.1,Bad
443,Justice League: The Flashpoint Paradox,(2013 Video),"Animation,Action,Adventure",75 min,The Flash finds himself in a war torn alternate timeline and teams up with alternate versions of his fellow heroes to return home and restore the timeline.,8.1,Good
444,Agent Cody Banks,-2003,"Action,Adventure,Comedy",102 min,A government agent trains Cody Banks in the ways of covert operations that require younger participants.,5.1,Bad
445,The New Batman Adventures,(1997–1999),"Animation,Action,Adventure",30 min,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.",8.5,Very Good
446,Superman: The Animated Series,(1996–2000),"Animation,Action,Adventure",30 min,The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.,8.1,Good
447,The Batman,(2004–2008),"Animation,Action,Adventure",30 min,Billionaire Bruce Wayne fights crime and evil as the mysterious Batman.,7.3,Good
448,Looney Tunes: Back in Action,-2003,"Animation,Action,Adventure",91 min,The Looney Tunes search for a man's missing father and the mythical Blue Monkey diamond.,5.7,Bad
449,Swamp Thing,-1982,"Horror,Sci-Fi",91 min,"After a violent incident with a special chemical, a research scientist is turned into a swamp plant monster.",5.4,Bad
450,Batman Ninja,-2018,"Animation,Action,Sci-Fi",85 min,"Batman, along with a number of his allies and adversaries, finds himself transplanted from modern Gotham City to feudal Japan.",5.6,Bad
451,Batman: Gotham Knight,(2008 Video),"Animation,Action,Crime",75 min,A collection of key events mark Bruce Wayne's life as he journeys from beginner to Dark Knight.,6.7,Bad
452,Batman: Bad Blood,(2016 Video),"Animation,Action,Adventure",72 min,"Bruce Wayne is missing. Alfred covers for him while Nightwing and Robin patrol Gotham City in his stead. And a new player, Batwoman, investigates Batman's disappearance.",6.8,Bad
453,Fred Claus,-2007,"Comedy,Family,Fantasy",116 min,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",5.6,Bad
454,Batman: Arkham Asylum,(2009 Video Game),"Action,Adventure,Crime",0,You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,9.2,Very Good
455,Justice League: War,(2014 Video),"Animation,Action,Adventure",79 min,The world's finest heroes found the Justice League in order to stop an alien invasion of Earth.,7.2,Good
456,Wonder Woman,(2009 Video),"Animation,Action,Adventure",74 min,A modern man's trespass of the island of the Amazons enables an imprisoned war god to escape and Princess Diana wins the responsibility to recapture him.,7.3,Good
457,Justice League vs. Teen Titans,(2016 Video),"Animation,Action,Adventure",78 min,Robin is sent to work with the Teen Titans after his volatile behavior botches a Justice League mission. The Titans must then face Trigon after he possesses the League and threatens to conquer the world.,7.0,Good
458,Constantine: City of Demons,(2018–2019),"Animation,Short,Fantasy",6 min,An animated series centering on the adventures of supernatural detective John Constantine.,7.6,Good
459,Batman Beyond: Return of the Joker,(2000 Video),"Animation,Action,Crime",76 min,"The Joker is back with a vengeance, and Gotham's newest Dark Knight needs answers as he stands alone to face Gotham's most infamous Clown Prince of Crime.",7.8,Good
460,Green Lantern Corps,,"Action,Adventure,Sci-Fi",0,"A group of humans join the Green Lantern Corps, an alien interstellar police force that protects the universe.",0.0,Bad
461,Gotham City Sirens,,"Action,Adventure,Comedy",0,Following three of Gotham City's most notorious female criminals on one of their most dangerous missions yet.,0.0,Bad
462,Deadshot,,"Action,Adventure,Comedy",0,Following hired assassin Floyd Lawton also known as Deadshot.,0.0,Bad
463,Batman vs. Robin,(2015 Video),"Animation,Action,Adventure",80 min,"While Damian Wayne struggles to cope with Batman's no-killing rule, he soon starts to believe that his destiny lies within a secret society known as, The Court of Owls.",7.1,Good
464,Superman: Doomsday,(2007 Video),"Animation,Action,Adventure",75 min,"When LexCorps accidentally unleash a murderous creature, Doomsday, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",7.0,Good
465,Justice League: Throne of Atlantis,(2015 Video),"Animation,Action,Adventure",72 min,"When Atlantian troops assault Metropolis as revenge for the death of their king, the Queen seeks help from the Justice League to find her son who has gone missing during the madness.",6.7,Bad
466,Superman/Batman: Public Enemies,(2009 Video),"Animation,Action,Drama",67 min,"When Lex Luthor gets elected US President, he uses the threat of an oncoming kryptonite meteor striking Earth as a rationale to frame Superman.",7.2,Good
467,Batman Begins,(2005 Video Game),"Action,Adventure,Crime",0,"You play as Batman and unleash your terror into the hearts of criminals, battling against foes such as Dr. Jonathan Crane/The Scarecrow, Ra's al Ghul, and Carmine ""The Roman"" Falcone.",8.2,Good
468,Tales of the Black Freighter,(2009 Video),"Animation,Short,Action",26 min,"A mariner survives an attack from the dreaded pirates of the Black Freighter, but his struggle to return home to warn it has a horrific cost.",7.1,Good
469,DC Showcase: Kamandi: The Last Boy on Earth!,-2021,"Animation,Short,Action",18 min,"Kamandi and his friends Prince Tuftan of the Tiger Kingdom and humanoid mutant Ben Boxer are kidnapped by a gorilla cult dedicated to finding the reincarnation of their god, The Mighty One.",7.3,Good
470,Batman & Mr. Freeze: SubZero,(1998 Video),"Animation,Action,Crime",70 min,"When Mr. Freeze, desperate to save his dying wife, kidnaps Barbara Gordon (Batgirl) as an involuntary organ donor, Batman and Robin must find her before the operation can begin.",7.2,Good
471,Being Flynn,-2012,Drama,102 min,"Working in a Boston homeless shelter, Nick Flynn re-encounters his father, a con man and self-proclaimed poet. Sensing trouble in his own life, Nick wrestles with the notion of reaching out yet again to his dad.",6.4,Bad
472,Krypto the Superdog,(2005–2006),"Animation,Action,Comedy",30 min,The adventures of the Kryptonian superhero dog and his friends.,5.7,Bad
473,Deathstroke,,"Action,Adventure,Crime",0,The film is based on the popular character from DC Comics.,0.0,Bad
474,Untitled Joker/Harley Quinn Project,,"Action,Adventure,Crime",0,A criminal love story between Harley Quinn and the Joker.,0.0,Bad
475,The Batman vs. Dracula,(2005 Video),"Animation,Action,Horror",83 min,"Batman faces off against the original creature of the night, Count Dracula, who has been unintentionally resurrected by the Penguin.",6.6,Bad
476,Blankman,-1994,"Action,Comedy,Crime",92 min,A simpleton inventor becomes a superhero with a bulletproof costume and a low budget.,5.0,Bad
477,Batman: The Telltale Series,(2016 Video Game),"Action,Crime,Sci-Fi",0,"Follows Bruce Wayne as he tries to juggle being the Billionaire and owner of Wayne Enterprises, with the masked vigilante Batman.",8.1,Good
478,DC Super Hero Girls,(2015–2018),"Animation,Short,Action",3 min,"At Super Hero High, iconic super heroes like Wonder Woman, Supergirl, Batgirl, Harley Quinn, Bumblebee, Poison Ivy, and Katana navigate all the twists and turns of high school.",6.0,Bad
479,Green Lantern: First Flight,(2009 Video),"Animation,Action,Adventure",77 min,"Test pilot Hal Jordan finds himself recruited as the newest member of the intergalactic police force, The Green Lantern Corps.",7.1,Good
480,Teen Titans: Trouble in Tokyo,(2006 TV film),"Animation,Action,Adventure",75 min,"After a battle with a high-tech villain named, Saiko-Tek, the Teen Titans travel to the city of Tokyo where they find themselves embroiled in a conflict with an ancient enemy.",7.1,Good
481,Batman Beyond: The film,(1999 TV film),"Animation,Sci-Fi,Action",132 min,"Decades after the retirement of Bruce Wayne as Batman, a boy dons the identity to avenge his own father's murder.",7.8,Good
482,Zatanna,,"Action,Adventure,Fantasy",0,"Like her father Zatara, Zatanna has many magical powers, and in that first issue, she's on a journey to find him.",0.0,Bad
483,Freedom Fighters: The Ray,(2018 Video),"Animation,Action,Fantasy",73 min,"Earth X is one of many realities in the multiverse, with one glaring difference from our Earth; the Nazis won World War II! Led by The Ray, it is here that a group of heroes known as the ...                See full summary »",6.2,Bad
484,Lego Batman: The film - DC Super Heroes Unite,(2013 Video),"Animation,Action,Adventure",71 min,"When the Joker and Lex Luthor form an alliance, Batman must team up with the Justice League in order to stop them.",6.5,Bad
485,Mortal Kombat vs. DC Universe,(2008 Video Game),"Action,Adventure,Fantasy",0,"The world of Justice League and the Netherealm collide following the merge between Darkseid and Shao Kahn, ultimately forming Dark Kahn. Heroes are haunted by a mysterious force called Rage, forgetting who the true enemy is.",6.8,Bad
486,The Zeta Project,(2001–2003),"Animation,Action,Sci-Fi",30 min,"A robot rebels against its creators, refusing to kill, and goes on the run.",7.1,Good
487,JLA Adventures: Trapped in Time,(2014 Video),"Animation,Action,Sci-Fi",52 min,"Lex Luthor is frozen during a battle with the Justice League. He thaws out in the 31st century, discovers Time Trapper and prevents Superman's arrival to Earth as a baby. Future teen heroes Karate Kid and Dawnstar must stop him.",5.8,Bad
488,Gotham Girls,(2000– ),"Animation,Comedy,Crime",0,The adventures of the female superheroes and supervillains of Gotham City.,7.4,Good
489,Lego Batman: The Videogame,(2008 Video Game),"Action,Adventure,Fantasy",0,"The notorious criminals including the Joker, the Penguin, Catwoman, and Scarecrow have broken out of Arkham Asylum and are set to wreak havoc in Gotham City.",7.9,Good
490,Under the Hood,(2009 Video),"Short,Action,Adventure",38 min,"A television interview with Hollis Mason, The first Nite-Owl, about his life and the superhero community.",7.2,Good
491,Lobo,-2000,"Animation,Short,Action",2 min,"The many adventures of the Main Man Lobo, a galactic bounty hunter.",6.8,Bad
492,Superman,-1988,"Animation,Short,Action",30 min,The Man of Steel fights evil in the city of Metropolis and beyond. Each episode ends with a short vignette about key events from Kal-El's youth on Earth.,7.1,Good
493,Too Funny to Fail: The Life & Death of The Dana Carvey Show,-2017,Documentary,92 min,"Creators, cast and network executives recount the strange history of the Dana Carvey Show, the irreverent prime time sketch comedy show that aired for eight episodes on ABC, following its star's meteoric run on Saturday Night Live.",7.7,Good
494,Justice League: Gods and Monsters Chronicles,(2015–2016),"Animation,Short,Action",6 min,"Taking place in an alternate reality featuring their versions of Superman, Wonder Woman, and Batman.",7.7,Good
495,The Super Powers Team: Galactic Guardians,(1985– ),"Adventure,Animation,Fantasy",30 min,"With the additional help of Cyborg, the greatest DC Comics superheroes continue their battle against the forces of evil.",7.6,Good
496,Batman: Knightfall,-2022,"Action,Crime,Thriller",0,The Glorious Pictures or Batman: Knightfall is not affiliated with WB or DC in any manner. Batman: Knightfall is a Realistic CGI non-commercial fan-film being made by The Glorious Pictures ...                See full summary »,0.0,Bad
497,LEGO DC Comics Super Heroes: Aquaman - Rage of Atlantis,(2018 Video),"Animation,Action,Adventure",77 min,"Aquaman must battle foes in the air, on land and in the depths of the Seven Seas, along with some help from The Justice League, to save the day .",5.7,Bad
498,Challenge of the Superfriends,-1978,"Animation,Action,Family",30 min,"The Justice League of America battles the plots of the supervillian team, the Legion of Doom.",7.7,Good
499,The Plastic Man Comedy/Adventure Show,(1979– ),"Animation,Adventure,Family",120 min,The adventures of the original stretchable superhero and various other characters.,6.4,Bad
500,Smallville Season 3 Promo,(2003 TV Short),"Short,Adventure,Drama",4 min,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas. It ...                See full summary »",9.1,Very Good
501,Superman Returns,(2006 Video Game),"Action,Adventure,Fantasy",0,"The Man of Steel returns from the extinct planet Kyrpton to his home Metropolis only to find himself protecting it once more from foes such as Metallo, Mongul and Bizarro.",5.5,Bad
502,Swamp Thing,(II) (1990– ),"Animation,Action,Adventure",30 min,"Scientist Alec Holland invents a growth substance that could end world hunger, but a plantation owner obsessed with immortality tries to steal it and causes an accident that turns Alec into a human-plant mutant, protector of the bayou.",6.3,Bad
503,SuperFriends: The Legendary Super Powers Show,-1984,"Action,Animation",30 min,"Now with the addition of Firestorm, the Super Friends oppose the forces of evil, especially the evil New God, Darkseid.",7.4,Good
504,The All-New Super Friends Hour,(1977–1978),"Animation,Action,Adventure",60 min,A team of the greatest DC Comics superheroes protects Earth with the help of a pair of alien sibling apprentices.,7.2,Good
505,Robotech: The Shadow Chronicles,-2006,"Animation,Action,Adventure",88 min,"Picking up where the original series left off, Scott Bernard continues his search for Rick Hunter and the fate of the SDF-3.",6.5,Bad
506,DC Fandome,(2020 TV Special),"Action,Fantasy,Talk-Show",0,a Plot,8.7,Very Good
507,Green Arrow,-2014,"Animation,Sci-Fi",1 min,An DC animated shorts following the emerald archer and his super artificial intelligence bow as he takes on crime alongside black canary.,7.7,Good
508,The Fire Rises: The Creation and Impact of the Dark Knight Trilogy,(2013 Video),Documentary,77 min,Documentary about the Dark Knight Trilogy.,8.1,Good
509,The Omen Legacy,(2001 TV film),Documentary,100 min,"The true stories that spawned the eerie tale of Damien, a small boy with an angelic face, whose very name still conjures up thoughts of Satan. This documentary shares spine-tingling ...                See full summary »",6.7,Bad
510,The World's Greatest SuperFriends,(1979– ),"Adventure,Animation",30 min,The further and darker adventures of the team consisting of DC Comics' greatest superheroes.,7.5,Good
511,Necessary Evil: Super-Villains of DC Comics,-2013,Documentary,99 min,"A documentary detailing the epic Rogues' Gallery of DC Comics from The Joker and Lex Luthor, Sinestro, Darkseid and more, this documentary will explore the Super Villains of DC Comics.",6.8,Bad
512,Dark Justice,-2003,"Short,Action",11 min,"A Batman fan film in which Commissioner Gordon's daughter Barbara is kidnapped by a man he sent to prison 20 years before, and he asks for Batman's help to get her back.",5.9,Bad
513,Frankenpimp,-2009,"Action,Comedy,Fantasy",194 min,"Romeo Montague is the alias of (the re-animated) Patient Zero, a skilled, mutated android hit-man/pimp/ancient relics collector, that lives in Verona City, N.Y.; a dystopic metropolis filled with extreme horror and sexual deviancy.",1.1,Bad
514,Superman 50th Anniversary,(1988 TV film),"Comedy,Documentary",49 min,A humorous telling of the history of the comic book superhero.,5.7,Bad
515,Winx Club,(2006 Video Game),"Animation,Action,Adventure",0,Year of manufacture: 2006 Genre: Action / Adventure / For Kids Developer: DC Studios Publisher: Konami Language: Russian and English Language of voice: English Publication Type: Piratka ...                See full summary »,6.8,Bad
516,Teen Titans,(2005 Video Game),"Animation,Action,Adventure",0,A video game based on the hit TV show Teen Titans.,7.2,Good
517,Metropolis,(V),"Action,Crime,Drama",60 min,Metropolis will follow Lois Lane and Lex Luthor as they investigate the world of fringe science and expose the city's dark and bizarre secrets. Airing exclusively on DC's upcoming digital ...                See full summary »,0.0,Bad
